datetime,city,state,country,shape,duration (seconds),duration (hours/min),comments,date posted,latitude,longitude
5/18/1993 03:00,box elder (rocky boys&#39 indian agency),mt,us,triangle,3600,1 hour,It was big and moved real slow.,7/16/2006,48.3172222,-110.0125000
5/18/2010 22:00,helena,mt,us,disk,120,two mins.,disk shaped object/ military choppers all around the object,6/3/2010,46.5927778,-112.0352778
5/20/2002 19:30,butte,mt,us,unknown,600,00:10:00,Butte&#44 Montana May 2002:  A star appears to move&#44 and is destroyed by some sort of missile or kamikazee spaceship.,8/7/2007,46.0038889,-112.5338889
5/20/2004 03:00,superior,mt,us,formation,600,10 minutes,Pictures of night-flying UFOs over Superior&#44 MT,6/4/2004,47.1916667,-114.8908333
5/20/2005 00:30,cut bank,mt,us,light,1800,30 minutes,My wife and I were coming from a late night movie in Cut Bank&#44 MT.,4/27/2007,48.6330556,-112.3252778
5/21/1997 04:00,wolf point,mt,us,fireball,300,5 minutes,Ball of light in Wolf Point Montana May 21&#44 1997,11/28/2007,48.0905556,-105.6400000
5/2/2012 23:30,columbia falls,mt,us,,600,10 minutes+,Very bright orange light&#44 strobes&#44 fades&#44 brightens&#44 moves&#44 disappears&#44 reappears in Flathead Valley.,5/13/2012,48.3725000,-114.1805556
5/22/2001 00:01,kalispell,mt,us,light,1200,20mins,two friends of was camping in kalispell&#44 MT. on 5-22-01 at 12 midnight soll a white object in the sky it look like it was flying around,8/5/2001,48.1958333,-114.3119444
5/22/2009 04:30,east helena,mt,us,changing,2700,45 min,Extreamly bright circular light floating &amp; changing shape in the early morning sky.,6/9/2009,46.5897222,-111.9147222
5/23/2003 23:35,havre,mt,us,formation,120,2 minutes,I saw what was either a craft shaped like a triangle&#44 or three seperate crafts&#44 flying in formation.,5/27/2003,48.5500000,-109.6833333
5/25/2013 22:30,butte,mt,us,triangle,600,10 minutes,3 white lights in a triangle formation.,6/2/2013,46.0038889,-112.5338889
5/26/2001 21:00,worden,mt,us,unknown,2,just a few seconds.,Small blueish-yellow/white light in the hills a few miles south of Worden&#44 MT.,7/16/2003,45.9600000,-108.1602778
5/26/2011 01:00,augusta,mt,us,light,120,1-2 minutes,ICBM Sites Augusta&#44 Montana&#44 1:00 A.M.  brilliant lights&#44 greenish red orb&#44 with no contrails on vanishing.,5/29/2011,47.4927778,-112.3913889
