date,timestamp,year,month,count
1980-3,1980-03-01T00:00:00Z,1980,Mar,11
1980-4,1980-04-01T00:00:00Z,1980,April,5
1980-5,1980-05-01T00:00:00Z,1980,May,20
1980-6,1980-06-01T00:00:00Z,1980,June,44
1980-7,1980-07-01T00:00:00Z,1980,July,32
1980-8,1980-08-01T00:00:00Z,1980,Aug,20
1980-9,1980-09-01T00:00:00Z,1980,Sept,14
1980-10,1980-10-01T00:00:00Z,1980,Oct,22
1980-11,1980-11-01T00:00:00Z,1980,Nov,5
1980-12,1980-12-01T00:00:00Z,1980,Dec,8
1981-1,1981-01-01T00:00:00Z,1981,Jan,9
1981-2,1981-02-01T00:00:00Z,1981,Feb,4
1981-3,1981-03-01T00:00:00Z,1981,Mar,5
1981-4,1981-04-01T00:00:00Z,1981,April,8
1981-5,1981-05-01T00:00:00Z,1981,May,6
1981-6,1981-06-01T00:00:00Z,1981,June,34
1981-7,1981-07-01T00:00:00Z,1981,July,15
1981-8,1981-08-01T00:00:00Z,1981,Aug,20
1981-9,1981-09-01T00:00:00Z,1981,Sept,14
1981-10,1981-10-01T00:00:00Z,1981,Oct,7
1981-11,1981-11-01T00:00:00Z,1981,Nov,8
1981-12,1981-12-01T00:00:00Z,1981,Dec,3
1982-1,1982-01-01T00:00:00Z,1982,Jan,1
1982-2,1982-02-01T00:00:00Z,1982,Feb,2
1982-4,1982-04-01T00:00:00Z,1982,April,1
1982-5,1982-05-01T00:00:00Z,1982,May,8
1982-6,1982-06-01T00:00:00Z,1982,June,45
1982-7,1982-07-01T00:00:00Z,1982,July,21
1982-8,1982-08-01T00:00:00Z,1982,Aug,15
1982-9,1982-09-01T00:00:00Z,1982,Sept,16
1982-10,1982-10-01T00:00:00Z,1982,Oct,13
1982-11,1982-11-01T00:00:00Z,1982,Nov,5
1982-12,1982-12-01T00:00:00Z,1982,Dec,7
1983-1,1983-01-01T00:00:00Z,1983,Jan,3
1983-2,1983-02-01T00:00:00Z,1983,Feb,3
1983-3,1983-03-01T00:00:00Z,1983,Mar,5
1983-4,1983-04-01T00:00:00Z,1983,April,12
1983-5,1983-05-01T00:00:00Z,1983,May,12
1983-6,1983-06-01T00:00:00Z,1983,June,28
1983-7,1983-07-01T00:00:00Z,1983,July,19
1983-8,1983-08-01T00:00:00Z,1983,Aug,16
1983-9,1983-09-01T00:00:00Z,1983,Sept,9
1983-10,1983-10-01T00:00:00Z,1983,Oct,6
1983-11,1983-11-01T00:00:00Z,1983,Nov,5
1983-12,1983-12-01T00:00:00Z,1983,Dec,4
1984-1,1984-01-01T00:00:00Z,1984,Jan,6
1984-2,1984-02-01T00:00:00Z,1984,Feb,1
1984-3,1984-03-01T00:00:00Z,1984,Mar,9
1984-4,1984-04-01T00:00:00Z,1984,April,6
1984-5,1984-05-01T00:00:00Z,1984,May,11
1984-6,1984-06-01T00:00:00Z,1984,June,38
1984-7,1984-07-01T00:00:00Z,1984,July,19
1984-8,1984-08-01T00:00:00Z,1984,Aug,16
1984-9,1984-09-01T00:00:00Z,1984,Sept,10
1984-10,1984-10-01T00:00:00Z,1984,Oct,16
1984-11,1984-11-01T00:00:00Z,1984,Nov,10
1984-12,1984-12-01T00:00:00Z,1984,Dec,2
1985-1,1985-01-01T00:00:00Z,1985,Jan,7
1985-2,1985-02-01T00:00:00Z,1985,Feb,4
1985-3,1985-03-01T00:00:00Z,1985,Mar,5
1985-4,1985-04-01T00:00:00Z,1985,April,10
1985-5,1985-05-01T00:00:00Z,1985,May,13
1985-6,1985-06-01T00:00:00Z,1985,June,44
1985-7,1985-07-01T00:00:00Z,1985,July,28
1985-8,1985-08-01T00:00:00Z,1985,Aug,18
1985-9,1985-09-01T00:00:00Z,1985,Sept,12
1985-10,1985-10-01T00:00:00Z,1985,Oct,17
1985-11,1985-11-01T00:00:00Z,1985,Nov,8
1985-12,1985-12-01T00:00:00Z,1985,Dec,5
1986-1,1986-01-01T00:00:00Z,1986,Jan,5
1986-2,1986-02-01T00:00:00Z,1986,Feb,5
1986-3,1986-03-01T00:00:00Z,1986,Mar,5
1986-4,1986-04-01T00:00:00Z,1986,April,9
1986-5,1986-05-01T00:00:00Z,1986,May,9
1986-6,1986-06-01T00:00:00Z,1986,June,35
1986-7,1986-07-01T00:00:00Z,1986,July,19
1986-8,1986-08-01T00:00:00Z,1986,Aug,21
1986-9,1986-09-01T00:00:00Z,1986,Sept,15
1986-10,1986-10-01T00:00:00Z,1986,Oct,16
1986-11,1986-11-01T00:00:00Z,1986,Nov,7
1986-12,1986-12-01T00:00:00Z,1986,Dec,7
1987-1,1987-01-01T00:00:00Z,1987,Jan,7
1987-2,1987-02-01T00:00:00Z,1987,Feb,3
1987-3,1987-03-01T00:00:00Z,1987,Mar,9
1987-4,1987-04-01T00:00:00Z,1987,April,12
1987-5,1987-05-01T00:00:00Z,1987,May,14
1987-6,1987-06-01T00:00:00Z,1987,June,31
1987-7,1987-07-01T00:00:00Z,1987,July,31
1987-8,1987-08-01T00:00:00Z,1987,Aug,19
1987-9,1987-09-01T00:00:00Z,1987,Sept,11
1987-10,1987-10-01T00:00:00Z,1987,Oct,21
1987-11,1987-11-01T00:00:00Z,1987,Nov,13
1987-12,1987-12-01T00:00:00Z,1987,Dec,5
1988-1,1988-01-01T00:00:00Z,1988,Jan,9
1988-2,1988-02-01T00:00:00Z,1988,Feb,5
1988-3,1988-03-01T00:00:00Z,1988,Mar,10
1988-4,1988-04-01T00:00:00Z,1988,April,7
1988-5,1988-05-01T00:00:00Z,1988,May,10
1988-6,1988-06-01T00:00:00Z,1988,June,36
1988-7,1988-07-01T00:00:00Z,1988,July,25
1988-8,1988-08-01T00:00:00Z,1988,Aug,35
1988-9,1988-09-01T00:00:00Z,1988,Sept,11
1988-10,1988-10-01T00:00:00Z,1988,Oct,22
1988-11,1988-11-01T00:00:00Z,1988,Nov,13
1988-12,1988-12-01T00:00:00Z,1988,Dec,5
1989-1,1989-01-01T00:00:00Z,1989,Jan,10
1989-2,1989-02-01T00:00:00Z,1989,Feb,6
1989-3,1989-03-01T00:00:00Z,1989,Mar,8
1989-4,1989-04-01T00:00:00Z,1989,April,6
1989-5,1989-05-01T00:00:00Z,1989,May,16
1989-6,1989-06-01T00:00:00Z,1989,June,38
1989-7,1989-07-01T00:00:00Z,1989,July,26
1989-8,1989-08-01T00:00:00Z,1989,Aug,19
1989-9,1989-09-01T00:00:00Z,1989,Sept,13
1989-10,1989-10-01T00:00:00Z,1989,Oct,29
1989-11,1989-11-01T00:00:00Z,1989,Nov,14
1989-12,1989-12-01T00:00:00Z,1989,Dec,15
1990-1,1990-01-01T00:00:00Z,1990,Jan,9
1990-2,1990-02-01T00:00:00Z,1990,Feb,13
1990-3,1990-03-01T00:00:00Z,1990,Mar,6
1990-4,1990-04-01T00:00:00Z,1990,April,5
1990-5,1990-05-01T00:00:00Z,1990,May,10
1990-6,1990-06-01T00:00:00Z,1990,June,33
1990-7,1990-07-01T00:00:00Z,1990,July,33
1990-8,1990-08-01T00:00:00Z,1990,Aug,23
1990-9,1990-09-01T00:00:00Z,1990,Sept,16
1990-10,1990-10-01T00:00:00Z,1990,Oct,21
1990-11,1990-11-01T00:00:00Z,1990,Nov,14
